Tweet,Sentiment
భీమ్ ముస్లింగా క్రీస్తు శిలువ వేయబడ్డాడు తరువాత ఆంజనేయుడు ఇంత పాత్ర ఎందుకు మరియు అతని తండ్రి సినిమా విడుదలలో ఎన్టీఆర్ పాత్రను కించపరచడం ప్రారంభించి రామ్‌ను హైలైట్ చేయడం ప్రారంభించాడు అప్పుడు మీరు టైర్ హీరోని తీసుకోవాలి ఇది సినిమాలో కూడా మంచిది కాదు క్లైమాక్స్‌లో ఎన్‌టిఆర్‌ అతనిని ఎత్తాడు ఎన్‌టిఆర్‌ ఫైటర్‌ యు డౌన్‌గ్రేడ్‌ చేసిన భీమ్‌ క్యారెక్టర్‌ని రామ్‌ని చూపించాల్సిన అవసరం లేదు అతను రామ్‌గా మారినంత మాత్రాన హైలైట్‌ బాగానే ఉందని మీకు అనిపిస్తే మీరు భీమ్‌ని వివిధ యాంగిల్‌లో హైలైట్ చేసి ఉండవచ్చు వీక్షకులపై ప్రభావం చూపుతోంది<><>నేను సినిమా చూసేంత వరకు రామాయణం లాగా అందరూ చెప్పడంతో నేను మీ మాటలు నమ్మాను కాబట్టి మీరు టైర్ హీరోని తీయవచ్చు టాప్ హీరోని అవమానించకూడదు సీన్ హైలైట్ కూడా అంగీకరించవచ్చు మీరు చేసిన రామ్ కోసం ఎన్టీఆర్‌ సార్‌ సినిమా చూస్తే కచ్చితంగా నుంచి సీన్స్‌ హైలైట్‌ అవుతాయి భీమ్ సినిమాలో రామ్ ఒక్కడే హీరో అన్నయ్య పాత్రకు సపోర్టుగా ఉంటాడని కొందరు అంటున్నారు,1.0
మీరంతా మంచి పని చేస్తున్నారు,1.0
ఎన్టీఆర్ ❤❤❤❤,1.0
ఇందులో మేమర్స్ గురించి చెప్పడమే హైలైట్,1.0
సరిగ్గా నవ్వుకున్న తారక్ అన్న రామ్ చరణ్ అన్న లవ్ యు,1.0
రామ్‌చరణ్ ఎక్కువ తీసుకోలేదు,1.0
అయ్యో,1.0
నేను ఈ ప్రమోషనల్ ఇంటర్వ్యూని ఎన్ని సార్లు చూశానో నాకు తెలియదు పదే పదే ఈ ఇంటర్వ్యూని చూశాను సుమ గారు ఎప్పుడూ సూపర్ సూపర్ సుమ గారు నుండి ఇలాంటివి మరిన్ని కోరుకుంటున్నాము,1.0
సుమ టాలీవుడ్ ఇండస్ట్రీలో బెస్ట్ యాంకర్ అస్సలు డౌట్ లేదు,1.0
నేను తమిళుడిని జూఎన్టీఆర్ రామారావుగారికి కృతజ్ఞతలు,1.0
లాస్ట్ లో ఆ ఇంటర్వ్యూ ఎక్కడ వుంది ఆ లేడీ యాంకర్ తో,1.0
తో యే ప్రకాత్ కా లా హై అమర్ కె పాస్ మెషిన్ హాయ్ లే జాయేగా,1.0
ఫ్యాన్స్ అని పిలవబడే వారందరికీ ప్రమోషన్ల సమయంలో థియేటర్లలో ఎలా ప్రవర్తించాలి మరియు ఇతరులకు ఇబ్బంది కలగకూడదని మేము ఆశిస్తున్నాము,1.0
క్యూకి ఖతం హోనే కా లా చలేగా హై రీసెర్చ్ పే ఇఫ్ నహీ ఆయా అమర్ తో సాహీ హై,1.0
శాస్త్రవేత్తలకు ఎంపికలు నహీ బాతా హక్ కరేగా ధర్మ్ సిద్ధ్ వాజా సే ఫైట్ కరేగా,1.0
రామ్‌చరణ్ ఏంటి ఇంట్రోవర్ట్ లాగా ఉన్నాడు,1.0
ఎన్టీఆర్ అల్లు అర్జున్ లేకుంటే ఇండస్ట్రీలో ఎనర్జీ ఉండదువాళ్లను రామ్ చరణ్ డామినేట్ చేయలేడు,1.0
ఎన్టీఆర్ ఇండస్ట్రీకి దొరికిన గొప్ప వరం,1.0
సమాజ్ మే నై ఆయా పర్ అచా ల్గా,1.0
నవ్వా ల సచ్చా ఇప్పటి వరకు చాలా సార్లు చూసారు కానీ ఇంకా చూస్తున్నారు సుమ మరియు తారక్ రాక్ చేసారు :),1.0
ఎన్టీఆర్ రామ్ చరణ్ కాంబినేషన్,1.0
ఇంటర్వ్యూ బాగుంది దయచేసి తమిళ వెర్షన్ కూడా ఉంది,1.0
ఆ సినిమాలో ఏమీ లేదు ఇది జిమ్మిక్ మాత్రమే,1.0
వావ్ అద్భుతమైన కాన్సెప్ట్ చాలా ప్రత్యేకమైనది మరియు చివరి వరకు పూర్తిగా ఆనందించబడింది,1.0
ఎన్టిఆర్ అన్నాఆఆఆఆఅ అన్నది నాకు చాలా ఇష్టం,1.0
సూపర్ ఎంటర్టైనింగ్,1.0
ప్రియమైన స్నేహితులారా<>నేను తెలుగు మాట్లాడే వ్యక్తిని కాదు కానీ నేను ఈ చిత్రాన్ని సార్లు చూశాను మరియు ఈ వ్యక్తి మిస్టర్ రాజ్‌మొయిలీ సార్ అత్యుత్తమ భారతీయ చిత్రాలను అందించారు<>సినిమా ఎలా తీయాలో ఆయన నిర్వచించారు<>హ్యాట్స్ ఆఫ్ <>నిజంగా తెలుగు సినిమా ఇండస్ట్రీ ఊపందుకుంది<> లో రామ్ చరణ్ మరియు ప్రతి సీన్ లో నాకు గూస్ బంప్స్ ఇస్తారు<>జై హింద్ వందేమాతరం,1.0
గుడ్ ఆల్ కేరెక్టర్ బాగుంది మీ పని సూపర్ సార్,1.0
మంచి సినిమా మేకింగ్ సార్ మీకు హ్యాట్సాఫ్,1.0
ఈ సినిమా ఒక గొప్ప అనుభూతిని కలిగించే సన్నివేశం మరియు రాజమౌళి సార్ వంటి గొప్ప స్క్రీన్ ప్లే,1.0
బాగుంది,1.0
ఆడుతోంది,1.0
సూపర్ చాలా అందమైన కదలిక 🥰,1.0
లో మా అన్న సుధీర్ అన్న,1.0
జై సుధీర్ అన్న,1.0
జై సుధీర్ అన్న,1.0
లవ్ యు రాజమౌళి సార్ చాలా ధన్యవాదాలు,1.0
సినిమా ఎలావుందో చెప్పడానికి మాటలేవ్ ఈ సినిమాలో ఈ సినీ బాగలేదనీ ఎమ్మెల్యే ప్రతి విషయంలో ఇంట్రెస్ట్ గా ఉంది,1.0
రోజుల పక్కా బాహుబలి కంటే పెద్ద హిట్ కొడుతుంది,1.0
మన భారతీయ చలనచిత్ర పరిశ్రమలో ముగ్గురు అద్భుతమైన తారలు ⭐⭐⭐ ❤️❤️❤️,1.0
ఎన్టీఆర్ వేరే లెవెల్,1.0
తారక తాత గారి ఆశీర్వాదం మెండుగా ఉందీ సూ ఎంత ఎదిగావన్నాది ముక్యం కాదు ఎంత ఒదిగవన్నాడా ముక్యం సో ఒదిగిండు అడుగుతూ ఉండు ఆల్ ద బెస్ట్కన్న,1.0
ఈస్ట్ ఇండియా కంపెనీ యొక్క మూవీ మరియు టీమ్ ఐ లవ్ యు సినిమా చూశారు రెండు క్లైమాక్స్ పోరాట సన్నివేశాలను ఆశించడం చాలా అద్భుతంగా ఉంది<>నేను నిన్ను ప్రేమిస్తున్నాను ధన్యవాదాలు<>మీ వ్యసనం నుండి నన్ను విడిపించినందుకు ధన్యవాదాలు,1.0
అన్ని బాలీవుడ్ రీమేక్‌ల కంటే చాలా మెరుగ్గా ఉంది,1.0
సంజ ఎన్హి పర్ సుంకే అచ్ఛా లగా,1.0
గొప్ప విజయం సూపర్ ఇంకో బ్లాక్ బస్టర్ మూవీ,1.0
రామ్‌చరణ్ వాయిస్ చాలా లెవెల్ లో ఉంటుంది,1.0
అద్భుతమైన,1.0
సూపర్,1.0
<>చాలా ఫన్నీ ; ఉల్లాసంగా<>,1.0
చాల బాగుంది,1.0
జై ఎన్టీఆర్ 🤣🤣,1.0
ఉత్తమ యాంకర్ సుమ గారు అసాధారణ కమ్యూనికేషన్ మరియు ఇంటర్ పర్సనల్ స్కిల్స్ తోప్ అండి మీరూ,1.0
హైలీ టాలెంటెడ్ ఎన్టీఆర్ కూల్‌గై రామ్,1.0
భారతీయ సినిమా హీరోలను చూడండీ ఎంత బాగా కలిసి ఉన్నారో లోయ కలిసి ఉంటే ఫ్యాన్స్ మనం ఇంకా కలిసి ఉండాలి సినిమా బ్లాక్ బస్టర్ చేద్దాం,1.0
జైఎన్టీఆర్,1.0
చరణ్‌ని అలా చూడటం చాలా ఆసక్తికరంగా ఆసక్తికరంగా ఉంది,1.0
మేము చాలా ఎంజాయ్ చేసాము సార్ ఇక నేను సినిమా కి వెళతాను,1.0
నేను తమిళనాడుకు చెందినవాడిని తక్కువ తెలుగు తెలుసు చాలా కాలంగా ఇలా నవ్వలేదు ధన్యవాదాలు,1.0
జై ఎన్టీఆర్ ❤️,1.0
జై కొమారం భీమ్,1.0
అస్సలు మాట్లాడాడు,1.0
ఎన్టీఆర్ గ్రేట్ వర్డ్స్,1.0
నేను ఫుల్ ఎంజాయ్ చేస్తున్నాను ❤️,1.0
సూపర్ అన్నన్,1.0
ఆర్ఆర్ఆర్ జై ఎన్టీఆర్ కోసం ఆత్రుతగా ఎదురుచూస్తున్నారు,1.0
జై ఎన్టీఆర్,1.0
ఎన్టీఆర్ ❤️,1.0
ఎన్టీఆర్ గారు మేరు సూపర్,1.0
నాకు చాలా నవ్వు వచ్చింది,1.0
ఉల్లాసంగా,1.0
నేను ఇలా నవ్వి చాలా కాలమైంది,1.0
గొప్ప నటులు నటించారు రాజమౌళి సార్ చాలా బాగుంది,1.0
ఈ ఇంటర్వ్యూ యొక్క నటన అంతా కానీ ని ఆస్వాదించాను,1.0
లో అత్యుత్తమ కామెడీ ప్రమోషన్‌లు,1.0
మేధి ఏమైపోయింది టిక్కెట్లు కోసం సాస్తునం ఇకా❤,1.0
అత్యుత్తమ సరదా సినిమా,1.0
జై చరణ్,1.0
రామ్ చరణ్ తేజ్ చాలా డీసెంట్,1.0
ఎన్టీఆర్ ఫన్ వెరీ లెవెల్,1.0
అంతటా నా ముఖంలో చిరునవ్వు ఉంది,1.0
రామ్ చరణ్ సూపర్,1.0
జై చరణ్ అన్న ఎన్టీఆర్ అన్న,1.0
రవితేజభామానందంమీమ్స్ డెమి గాడ్స్,1.0
మీ సినిమాకి ఆల్ ది బెస్ట్,1.0
జై ఎన్టీఆర్,1.0
మూవీ ప్రపంచ స్థాయిలో మంచి గుర్తింపు రావాలి ప్రపంచంలో ఇప్పటి వరకు ఉన్న సినిమాలు అన్ని రికార్డులు చెరిగిపోయి మళ్ళీ ఈ రికార్డు చేరడానికి స వత్సరాలు వరకు తిరుగులేకుండా ఉండాలి అని ఒక ❤నందమూరి తారకరామారావు ❤గారి అభిమానిగా కోరుకుంటున్నాను అలాగే రాంచరణ్ గారికి మరియు ప్రపంచ స్థాయిలో తెలుగు వాడు కాలరు ఎగరావేసుకునేలా చేసిన మన రాజమౌళి గారికి నా హృదయపూర్వక మనస్ఫూర్తిగా ముచ్చటగా ముగ్గురుకి అల్ ద బెస్ట్ చెప్తూ ❤;;❤ ❤> <> అభిమానిగా<> మీ<>నగిరికంటి నాగ సుబ్రహ్మణ్యేశ్వరరావు ( ),1.0
చాలా ఎంజాయ్ చేశాం సార్,1.0
జై సుధీర్ అన్న,1.0
ఎన్టీఆర్ సూపర్ ఆర్సీ కూల్ చాల బాగుండి ఎపిసోడ్ బాగుంది ఎన్టీఆర్ ఫుల్ జోష్ లో ఉన్నాడు,1.0
స్టైలిష్ రామ్ చరణ్ సార్,1.0
అందరు సినిమాల్లో హీరోలు బయట ఇలా గాలుఏంటికి పనికి రారు,1.0
ఏంటి తమ్ముడు టాయ్గర్ మేధా మీమ్స్ ఆ,1.0
మీ ప్రమోషన్స్ కే డబ్బులు వచ్చేలా ఉన్నాయ్ కదా రాజమౌళి బాబుగారూ,1.0
ఇది అత్యుత్తమ అంతా నవ్వాను,1.0
జై ఎన్టీఆర్,1.0
తారక్ బాగా మాట్లాడుతున్నాడు,1.0
రాజమొలి గారు మీరు ; ఎన్టీఆర్ విల ఎదర్ని తీసుకొనే శ్రద్ధ చాల ముచ్చటగా ఉన్నది ఓక తండ్రీ తన పిల్లల్ని ఎలా చూసుకుంటారు ఈదార్ని రెండు కళ్ళు మీ రు చాల ప్రేమ కనభరిస్తున్నారు రాజమోళి గారు,1.0
జై ఎన్టీఆర్,1.0
జై ఆర్‌సి,1.0
ఉల్లాసంగా,1.0
జై రాంచరణ్,1.0
సూపర్ షో ప్లీజ్ ఇది చాలా ఫన్నీ మరియు ఆనందించేలా చేయండి ❤️,1.0
ఎన్టీఆర్ అన్నయ,1.0
ఎన్టీఆర్❤,1.0
ఉల్లాసంగా సర్ర్,1.0
అందమైన వ్యక్తీకరణ తారక్ @,1.0
మేము చాలా ఆనందించాము సర్,1.0
ఇండియన్ ఫిల్మ్ ఇండస్ట్రీని షేక్ చేయండి రాజమౌళి సార్,1.0
ఇంటర్వ్యూ బాగుంది కానీ నాకు సందేహం రాజమౌళి గారు సినిమాలో వీళ్లు ఎద్దరు కాకుండా ఇంకా ఉత్తమ నటులు లేరా మీ అడ్వాంటేజింగ్ స్ట్రాటజీ సూపర్ బెస్ట్ ఆఫ్ లక్,1.0
ఇటీవలి కాలంలో అత్యుత్తమ,1.0
జై బోలో,1.0
అందరు ఆనందించడం చూసి సంతోషం,1.0
జై ఎన్టీఆర్,1.0
రామ్ చరణ్ ❤️,1.0
ఎన్టీఆర్ గారి హాస్యం సూపర్బ్,1.0
సూపర్ కామెడీ చాలా బాగుంది,1.0
సినిమా తమిళనాడు నుండి వేచి ఉంది ‍♂ అభిమానులు‍♂,1.0
రామ్ చరణ్ స్టైల్,1.0
జై,1.0
నాకు భాష తెలియదు కానీ నేను ప్రతిదీ అర్థం చేసుకున్నాను మరియు నా హృదయం నుండి నిజంగా ఆనందించాను,1.0
జై ఎన్టీఆర్,1.0
పర్ఫెక్షన్ కి స్పెషలిస్ట్ రాజమౌళి,1.0
పర్ఫెక్ట్ త్రయం ❤❤❤,1.0
ఎగ,1.0
ఎన్టీఆర్ అతడే పులి డైలాగ్ డెలోబెర్రీలో మిమ్మల్ని ఎవరూ ఓడించలేరు,1.0
జై,1.0
జై ఎన్టీఆర్,1.0
ఈ సినిమా విజయంతో బాలీవుడ్ ఉచ్చ పోసుకోవాలి,1.0
జై ఎన్టీఆర్ అన్న,1.0
ఎన్టీఆర్ మరియు ఎస్‌ఎస్‌ఆర్ బంధాన్ని చూడటానికి నిజంగా ఎలాంటి పాలిషింగ్ లేదు ఎవరూ దానిని అహానికి తీసుకెళ్లరు,1.0
ఉత్తమ డబ్బు గేమ్,1.0
చాలా చక్కని ఇంటర్వ్యూ,1.0
తెలుగు సినిమా ప్రేమికులకు చాలా గర్వకారణం లెజెండ్స్ మరియు మరియు చరణ్ అంకితభావానికి హ్యాట్సాఫ్,1.0
జూనియర్ ఎన్టీఆర్ వినోదం అంతిమమైనది,1.0
రామ్ చరణ్ అన్నకు ముందస్తు పుట్టినరోజు శుభాకాంక్షలు,1.0
నిజానికి రాజమౌళి గారి సినిమాకి పండుగ సీజన్ లేదు ఆయన సినిమానే పండగ జనవరి సంక్రాంతి లోనే రావాలి అనేది నా నిర్ణయం అయినా సరే నాకు వ తేదీ ఫస్ట్ షోకి టికెట్ దొరికింది,1.0
ఇది చాలా అద్భుతంగా ఉంది,1.0
రాజమౌళి ఎటువంటి రాజీ పడడు అతను పని చేసే ప్రతి నటుడి నుండి శుద్ధీకరణను సంగ్రహిస్తాడు,1.0
జై రాంచరణ్,1.0
నేను చాలా నవ్వాను,1.0
ప్రశాంత్ నీల్ నంబర్ దర్శకుడు రాజమౌళి భారతదేశంలోని ఇద్దరు మంచి దర్శకులు,1.0
రాజమౌళి సర్ శంకర్ సర్ రాజ్‌కుమార్ హిరానీ సర్ ఈ ముగ్గురు దర్శకులు మన భారతీయ చలనచిత్ర పరిశ్రమలకు మంచి కంటెంట్ సినిమా ద్వారా వినోదం కోసం ఆశీర్వదిస్తున్నారు,1.0
ఎన్టీఆర్ అన్న వావ్ వాట్ ఎ పిచ్చా కామెడీ,1.0
జై ఎన్టీఆర్ జై జై ఎన్టీఆర్ నేను కోసం ఎదురు చూస్తున్నాను,1.0
అద్భుతమైన 🤣🤣🤣🤣,1.0
వాగి వాగి ❤️డైలాగ్స్ సూపర్,1.0
ఏళ్లు పట్టిందిఏలాంటి సినిమా తీయటానికికంటెంట్ ఉంటే తక్కువ బడ్జెట్ లో సినిమా అయినా హిట్ అవుతుందికాశ్మీర్ ఫైల్స్ లాగా,1.0
మ్యాన్ ఆఫ్ ది మ్యాచ్ (అన్ని ఇంటర్వ్యూలు) ఎన్టీఆర్‌కి దక్కింది,1.0
ఇది అన్నింటికంటే ఉత్తమమైనది,1.0
మేము పడ్డ కష్టానికి ప్రతిఫలం దక్కింది❤️,1.0
సినిమా లో నటుల కి ఎలివేషన్స్ ఇస్తారు ప్రమోషన్స్ లో యాక్టర్స్ ఎస్సార్ కి ఎలివేషన్స్ ఇస్తారు,1.0
జై ఎన్టీఆర్ అన్న,1.0
ఉత్తమమైనది,1.0
వ సారి చూస్తున్నాను,1.0
ప్రపంచ వ్యాప్తంగా సంచలన దర్శకుడు రాజమౌళి గారు,1.0
ఎంజాయింగ్ చాలా మీ సంభాషణ,1.0
ఎంకెన్ని చేస్తారు రా బాబు,1.0
ఫస్ట్ చూసిన రోజు నేను పక్కానే వున్నా జై ఎన్టీఆర్,1.0
అద్భుతమైన వీడియోలు,1.0
ఉత్తమమైన మరియు హాస్యాస్పదమైన ప్రచార ఇంటర్వ్యూలో ఒకటి,1.0
రాజమౌళి భారతదేశపు లెజెండరీ కింగ్,1.0
రాజమౌళి గారి దర్శకత్వంలో రాంచరణ్ హీరోగా మగధీర సినిమా ఎప్పుడు,1.0
ఎప్పుడూ రామ్ చరణ్ ఫ్యాన్స్,1.0
అప్పుడే అయిపోయిందా అన్పించిందే సినిమా,1.0
జై రామ్ చరణ్ అన్న,1.0
మేము చాలా ఆనందించాము సార్🤣🤣,1.0
చాలా ఎంజాయ్ చేసాం సార్,1.0
చాలా ఇంట్రెస్టింగ్ ఎన్టీఆర్ సర్ రాక్,1.0
అల్లూరి సీత రామరాజు రామ్ చరణ్ అభిమానులు,1.0
రామ్ చరణ్,1.0
రామ్ చరణ్ అభిమానులు,1.0
ఆర్ఆర్ఆర్ సినిమా అఖండ విజయం సాధించాలని మస్పూర్తిగా కోరుకుంటున్నా ఎన్నడూ లేని విధంగా కలెక్షన్లు సృష్టించాలి ఆల్ది బెస్ట్ టీం,1.0
నందమూరి తారక రామా రావు రాక్స్,1.0
ఆంధ్ర ప్రదేశ్ లో కుడ ప్రమోషన్ చస్త బాగుంటుంది,1.0
ఇది అత్యుత్తమ ఇంటర్వ్యూ,1.0
కన్నడ ఇండస్ట్రీలో పునీత్ అన్న బహుముఖ ప్రజ్ఞాశాలి తెలుగులో ఎన్టీఆర్ అన్న బహుముఖ ప్రజ్ఞాశాలి నా కామెంట్ తో ఎంతమంది ఏకీభవిస్తారు,1.0
కన్నాంబ ఏంటి కన్నాంబ గారు అని ఆనంది సుమ గారు,1.0
ఎదురుచూస్తున్న సినిమా,1.0
ఇక్కడ గొప్పతనం ఏంటంటే వెంకీ సినిమా మీమ్స్ ఎక్కువయ్యాయి,1.0
జై ఎన్టీఆర్ జై రామ్ జై రాజమౌళి,1.0
సుమక్క వుంటీ ఎంటర్టైన్మెంట్ % ఉంటుంది,1.0
Ñ సూపర్,1.0
అద్భుతమైన రామ్ చరణ్,1.0
కోసం వేచి ఉండండి,1.0
ఎన్టీఆర్ ఉంటే హ షో చాలా రేంజ్ లో ఉంటుంది,1.0
చాలా పరిణితి చెందిన వ్యక్తి,1.0
జీ రామ్ చరణ్ అన్న,1.0
జై ఎన్టీఆర్ అన్న,1.0
చరణ్ అన్న అభిమాని,1.0
ఇది హాస్యాస్పదంగా ఉంది,1.0
అడ్వాన్స్ మీకు చరణ్ పుట్టినరోజు శుభాకాంక్షలు,1.0
జై ఎన్టీఆర్,1.0
ఎన్టీఆర్ భారతీయ సినిమాకు దేవుడిచ్చిన వరం,1.0
సభ్యులు కృషి ఇపుడు అందరికి తెల్సింది,1.0
జై ఎన్టీఆర్ జై ఎన్టీఆర్ జై ఎన్టీఆర్ జై ఎన్టీఆర్ జై ఎన్టీఆర్ జై ఎన్టీఆర్ జై ఎన్టీఆర్,1.0
ఇది నిజంగా తమాషాగా ఉంది,1.0
ఎన్టీఆర్ గారి కోసం చాలా చాలా చాలా చాలా చాలా వేచి ఉన్న ఎన్టీఆర్ గారి ఫ్యాన్;,1.0
మంచిది,1.0
ఎన్టీఆర్,1.0
తమాషా,1.0
జై నందమూరి,1.0
<>రాజమౌళి సినిమా విడుదల తేదీ ; కీర్వాణి మ్యూజిక్ మెమ్స్ సూపర్<> 🤣🤣🤣,1.0
హిల్లరస్ అసలు,1.0
జై ఎన్టీఆర్ అన్న,1.0
జై ఎన్టీఆర్ జై జై ఎన్టీఆర్,1.0
గురించి ఇది జెంటిల్‌మన్ రియాక్షన్ అంటే పది కోట్లు పరువు నష్టం కేసు వేస్తాం అని కాదు రియాక్ట్ అవ్వాల్సింది,1.0
సూటిగా తారక్ అన్న ఎనర్జీ లెవల్స్ అజేయంగా ఉన్నాయి,1.0
సూపర్బ్<>అన్నిటికంటే పిల్లలు మేమే చాలా చాలా బాగుంది<>చరణ్ ఎక్స్‌ప్రెషన్ చాలా 🥰 క్యూట్,1.0
అద్భుతమైన కామెడీ,1.0
అన్నాచరణ్,1.0
మేము చాలా ఆనందించాము సార్ 🤣,1.0
రాజమౌళి డైలాగ్‌కి రామ్‌చరణ్ స్పందన హైలైట్,1.0
నాకో చిన్న డౌట్ ఏపాటివారికి రాజమౌళి గారు ఆగడు ఎలా సినిమా ప్రమోషన్స్ చేయలేదువై అన్నీ మూవీస్ బ్లాక్ బోస్టర్స్ కానీ ఎపుడేంటి కొత్తగా ప్రమోషన్స్ చేస్తున్నారు,1.0
భారతీయ సినిమాని మరో స్థాయికి చేర్చిన టీమ్ టీమ్ అత్యుత్తమ ప్రదర్శన,1.0
